HCl_mL,CH3COOH_mL,ZrCl4_mmol,HfCl4_mmol,Water_mL,Crystallized,FCC_Phase,Mesoporous,Uniform_Mesoporous,Non_Spherical,Intensity_Ratio
0.0,1.0,0.1,0.0,1.5,1,1,0,0,0,NA
0.2,0.8,0.1,0.0,1.5,0,0,0,0,0,NA
0.4,0.6,0.1,0.0,1.5,1,1,1,1,1,3.965
0.6,0.4,0.1,0.0,1.5,1,1,1,1,1,2.725
0.8,0.2,0.1,0.0,1.5,1,1,1,1,1,2.5955
1.0,0.0,0.1,0.0,1.5,0,0,0,0,0,NA
0.0,1.0,0.1,0.0,3.0,1,0,0,0,1,NA
0.2,0.8,0.1,0.0,3.0,1,1,0,0,1,NA
0.4,0.6,0.1,0.0,3.0,1,1,1,1,1,3.249
0.6,0.4,0.1,0.0,3.0,1,1,1,1,1,2.634
0.8,0.2,0.1,0.0,3.0,1,1,1,1,1,2.249
1.0,0.0,0.1,0.0,3.0,0,0,0,0,0,NA
0.0,1.0,0.1,0.0,4.5,1,0,0,0,1,NA
0.2,0.8,0.1,0.0,4.5,1,1,1,0,0,3.577
0.4,0.6,0.1,0.0,4.5,1,1,1,1,1,3.442
0.6,0.4,0.1,0.0,4.5,1,1,1,1,1,2.635
0.8,0.2,0.1,0.0,4.5,1,1,1,1,0,2.15
1.0,0.0,0.1,0.0,4.5,0,0,0,0,0,NA
0.0,1.0,0.08,0.02,1.5,1,0,0,0,1,NA
0.2,0.8,0.08,0.02,1.5,0,0,0,0,0,NA
0.4,0.6,0.08,0.02,1.5,1,1,1,1,1,2.932
0.6,0.4,0.08,0.02,1.5,1,1,1,1,1,3.947
0.8,0.2,0.08,0.02,1.5,1,1,1,1,1,2.562
1.0,0.0,0.08,0.02,1.5,0,0,0,0,0,NA
0.0,1.0,0.08,0.02,3.0,1,0,0,0,1,NA
0.2,0.8,0.08,0.02,3.0,1,0,0,0,1,NA
0.4,0.6,0.08,0.02,3.0,1,1,1,0,1,2.701
0.6,0.4,0.08,0.02,3.0,1,1,1,1,1,2.65
0.8,0.2,0.08,0.02,3.0,1,1,1,1,1,2.21
1.0,0.0,0.08,0.02,3.0,0,0,0,0,0,NA
0.0,1.0,0.08,0.02,4.5,1,0,0,0,1,NA
0.2,0.8,0.08,0.02,4.5,1,1,1,0,0,3.25
0.4,0.6,0.08,0.02,4.5,1,1,1,1,1,3.03
0.6,0.4,0.08,0.02,4.5,1,1,1,1,1,2.618
0.8,0.2,0.08,0.02,4.5,1,1,1,1,0,2.283
1.0,0.0,0.08,0.02,4.5,0,0,0,0,0,NA
0.0,1.0,0.06,0.04,1.5,1,0,0,0,0,NA
0.2,0.8,0.06,0.04,1.5,0,0,0,0,0,NA
0.4,0.6,0.06,0.04,1.5,1,1,1,1,1,1.751
0.6,0.4,0.06,0.04,1.5,1,1,1,1,1,3.261
0.8,0.2,0.06,0.04,1.5,1,1,1,1,1,2.61
1.0,0.0,0.06,0.04,1.5,0,0,0,0,0,NA
0.0,1.0,0.06,0.04,3.0,1,0,0,0,1,NA
0.2,0.8,0.06,0.04,3.0,1,1,0,0,1,NA
0.4,0.6,0.06,0.04,3.0,1,1,1,1,1,3.416
0.6,0.4,0.06,0.04,3.0,1,1,1,1,1,3.065
0.8,0.2,0.06,0.04,3.0,1,1,1,1,1,2.153
1.0,0.0,0.06,0.04,3.0,0,0,0,0,0,NA
0.0,1.0,0.06,0.04,4.5,1,0,0,0,1,NA
0.2,0.8,0.06,0.04,4.5,1,1,0,0,1,NA
0.4,0.6,0.06,0.04,4.5,1,1,1,0,0,NA
0.6,0.4,0.06,0.04,4.5,1,1,1,1,1,2.672
0.8,0.2,0.06,0.04,4.5,1,1,1,1,1,2.23
1.0,0.0,0.06,0.04,4.5,0,0,0,0,0,NA
0.0,1.0,0.04,0.06,1.5,1,0,0,0,1,NA
0.2,0.8,0.04,0.06,1.5,0,0,0,0,0,NA
0.4,0.6,0.04,0.06,1.5,0,0,0,0,0,NA
0.6,0.4,0.04,0.06,1.5,1,1,1,1,1,2.018
0.8,0.2,0.04,0.06,1.5,1,1,1,1,1,2.104
1.0,0.0,0.04,0.06,1.5,0,0,0,0,0,NA
0.0,1.0,0.04,0.06,3.0,1,0,0,0,1,NA
0.2,0.8,0.04,0.06,3.0,0,0,0,0,0,NA
0.4,0.6,0.04,0.06,3.0,1,1,1,0,0,NA
0.8,0.2,0.04,0.06,3.0,1,1,1,1,1,2.258
1.0,0.0,0.04,0.06,3.0,0,0,0,0,0,NA
0.0,1.0,0.04,0.06,4.5,1,0,0,0,1,NA
0.2,0.8,0.04,0.06,4.5,1,1,1,0,0,NA
0.4,0.6,0.04,0.06,4.5,1,1,1,1,1,2.526
0.6,0.4,0.04,0.06,4.5,1,1,1,1,0,2.419
0.8,0.2,0.04,0.06,4.5,1,1,1,1,1,2.46
1.0,0.0,0.04,0.06,4.5,0,0,0,0,0,NA
0.0,1.0,0.02,0.08,1.5,1,0,0,0,1,NA
0.2,0.8,0.02,0.08,1.5,0,0,0,0,0,NA
0.4,0.6,0.02,0.08,1.5,1,1,1,0,1,NA
0.6,0.4,0.02,0.08,1.5,1,1,1,1,1,2.571
0.8,0.2,0.02,0.08,1.5,1,1,1,1,1,1.981
1.0,0.0,0.02,0.08,1.5,0,0,0,0,0,NA
0.0,1.0,0.02,0.08,3.0,1,0,0,0,1,NA
0.2,0.8,0.02,0.08,3.0,1,1,0,0,1,NA
0.4,0.6,0.02,0.08,3.0,1,1,1,0,1,NA
0.6,0.4,0.02,0.08,3.0,1,1,1,1,1,2.65
0.8,0.2,0.02,0.08,3.0,1,1,1,1,1,1.7863
1.0,0.0,0.02,0.08,3.0,0,0,0,0,0,NA
0.0,1.0,0.02,0.08,4.5,1,0,0,0,1,NA
0.2,0.8,0.02,0.08,4.5,1,1,1,0,1,NA
0.4,0.6,0.02,0.08,4.5,1,1,1,1,0,NA
0.6,0.4,0.02,0.08,4.5,1,1,1,1,0,2.29
0.8,0.2,0.02,0.08,4.5,1,1,1,1,1,1.97
1.0,0.0,0.02,0.08,4.5,0,0,0,0,0,NA
0.0,1.0,0.0,0.1,1.5,1,0,0,0,1,NA
0.2,0.8,0.0,0.1,1.5,0,0,0,0,0,NA
0.4,0.6,0.0,0.1,1.5,0,0,0,0,0,NA
0.6,0.4,0.0,0.1,1.5,1,1,1,1,1,2.84
0.8,0.2,0.0,0.1,1.5,1,1,1,1,1,0.976
1.0,0.0,0.0,0.1,1.5,0,0,0,0,0,NA
0.0,1.0,0.0,0.1,3.0,1,0,0,0,1,NA
0.2,0.8,0.0,0.1,3.0,1,1,0,0,1,NA
0.4,0.6,0.0,0.1,3.0,1,1,1,1,1,2.709
0.6,0.4,0.0,0.1,3.0,1,1,1,1,1,2.044
0.8,0.2,0.0,0.1,3.0,1,1,1,1,1,1.74
1.0,0.0,0.0,0.1,3.0,0,0,0,0,0,NA
0.0,1.0,0.0,0.1,4.5,1,0,0,0,0,NA
0.2,0.8,0.0,0.1,4.5,1,1,1,1,0,NA
0.4,0.6,0.0,0.1,4.5,1,1,1,1,0,2.175
0.6,0.4,0.0,0.1,4.5,1,1,1,1,0,2.048
0.8,0.2,0.0,0.1,4.5,1,1,1,1,0,1.825
1.0,0.0,0.0,0.1,4.5,0,0,0,0,0,NA
0.3,0.7,0.1,0.0,3.0,1,1,1,1,1,4.154
0.3,0.7,0.08,0.02,3.0,1,1,1,1,1,3.014
0.3,0.7,0.06,0.04,3.0,1,1,1,0,0,NA
0.3,0.7,0.04,0.06,3.0,1,1,1,0,1,NA
0.3,0.7,0.02,0.08,3.0,1,1,1,0,1,NA
0.3,0.7,0.0,0.1,3.0,0,0,0,0,0,NA
0.7,0.3,0.1,0.0,3.0,1,1,1,1,1,2.88
0.7,0.3,0.08,0.02,3.0,1,1,1,1,1,2.7023
0.7,0.3,0.06,0.04,3.0,1,1,1,1,1,2.96
0.7,0.3,0.04,0.06,3.0,1,1,1,1,1,2.101
0.7,0.3,0.02,0.08,3.0,1,1,1,1,1,1.875
0.7,0.3,0.0,0.1,3.0,1,1,1,1,1,1.867
0.3,0.7,0.1,0.0,1.5,0,0,0,0,0,NA
0.3,0.7,0.08,0.02,1.5,0,0,0,0,0,NA
0.3,0.7,0.06,0.04,1.5,0,0,0,0,0,NA
0.3,0.7,0.04,0.06,1.5,0,0,0,0,0,NA
0.3,0.7,0.02,0.08,1.5,0,0,0,0,0,NA
0.3,0.7,0.0,0.1,1.5,0,0,0,0,0,NA
0.7,0.3,0.1,0.0,1.5,1,1,1,1,1,3.042
0.7,0.3,0.08,0.02,1.5,1,1,1,1,1,2.3535
0.7,0.3,0.06,0.04,1.5,1,1,1,1,1,2.258
0.7,0.3,0.04,0.06,1.5,1,1,1,1,1,2.162
0.7,0.3,0.02,0.08,1.5,1,1,1,1,1,1.98
0.7,0.3,0.0,0.1,1.5,1,1,1,1,1,1.33
